Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
104,"B Liu, S Shen","Broadband near-field radiative thermal emitter/absorber based on hyperbolic metamaterials: Direct numerical simulation by the Wiener chaos expansion method",2013,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.87.115403","https://scholar.google.com/scholar?cites=7693197267246570566&as_sdt=5,33&sciodt=0,33&hl=en&num=20",51,"2018-12-02","","","","",,,,,104,20.80,52,2,5
103,"C Otey, S Fan","Numerically exact calculation of electromagnetic heat transfer between a dielectric sphere and plate",2011,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.84.245431","https://scholar.google.com/scholar?cites=5294984368420250965&as_sdt=5,33&sciodt=0,33&hl=en&num=20",52,"2018-12-02","","","","",,,,,103,14.71,52,2,7
99,"AI Volokitin, BNJ Persson","Resonant photon tunneling enhancement of the radiative heat transfer",2004,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.69.045417","https://scholar.google.com/scholar?cites=9865422303050789127&as_sdt=5,33&sciodt=0,33&hl=en&num=20",53,"2018-12-02","","","","",,,,,99,7.07,50,2,14
97,"F Marquier, K Joulain, JP Mulet, R Carminati…","Engineering infrared emission properties of silicon in the near field and the far field",2004,"Optics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0030401804004237","https://scholar.google.com/scholar?cites=2808120180088014838&as_sdt=5,33&sciodt=0,33&hl=en&num=20",54,"2018-12-02","HTML","","","",,,,,97,6.93,19,5,14
92,"DM Burns, VM Bright","Optical power induced damage to microelectromechanical mirrors",1998,"Sensors and Actuators A: Physical","Elsevier","https://www.sciencedirect.com/science/article/pii/S092442479800106X","https://scholar.google.com/scholar?cites=2753327730532009203&as_sdt=5,33&sciodt=0,33&hl=en&num=20",55,"2018-12-02","","","","",,,,,92,4.60,46,2,20
98,"PJ Van Zwol, L Ranno, J Chevrier","Tuning near field radiative heat flux through surface excitations with a metal insulator transition",2012,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.108.234301","https://scholar.google.com/scholar?cites=13078923583154050234&as_sdt=5,33&sciodt=0,33&hl=en&num=20",56,"2018-12-02","","","","",,,,,98,16.33,33,3,6
94,"P Ben-Abdallah, SA Biehs, K Joulain","Many-body radiative heat transfer theory",2011,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.107.114301","https://scholar.google.com/scholar?cites=17000440646366193290&as_sdt=5,33&sciodt=0,33&hl=en&num=20",57,"2018-12-02","","","","",,,,,94,13.43,31,3,7
95,"T Kralik, P Hanzelka, M Zobac, V Musilova, T Fort…","Strong near-field enhancement of radiative heat transfer between metallic surfaces",2012,"Physical review …","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.109.224302","https://scholar.google.com/scholar?cites=17669485754787245986&as_sdt=5,33&sciodt=0,33&hl=en&num=20",58,"2018-12-02","","","","",,,,,95,15.83,16,6,6
90,"AI Volokitin, BNJ Persson","Theory of the interaction forces and the radiative heat transfer between moving bodies",2008,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.78.155437","https://scholar.google.com/scholar?cites=4695313079969200231&as_sdt=5,33&sciodt=0,33&hl=en&num=20",59,"2018-12-02","","","","",,,,,90,9.00,45,2,10
94,"SA Biehs, FSS Rosa, P Ben-Abdallah","Modulation of near-field heat transfer between two gratings",2011,"Applied Physics Letters","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.3596707","https://scholar.google.com/scholar?cites=6981883798851318345&as_sdt=5,33&sciodt=0,33&hl=en&num=20",60,"2018-12-02","","","","",,,,,94,13.43,31,3,7
88,"AI Volokitin, BNJ Persson","Quantum friction",2011,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.106.094502","https://scholar.google.com/scholar?cites=14682075827116700435&as_sdt=5,33&sciodt=0,33&hl=en&num=20",61,"2018-12-02","","","","",,,,,88,12.57,44,2,7
86,"VP Carey, G Chen, C Grigoropoulos…","A review of heat transfer physics",2008,"Nanoscale and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15567260801917520","https://scholar.google.com/scholar?cites=2018762852248648441&as_sdt=5,33&sciodt=0,33&hl=en&num=20",62,"2018-12-02","","","","",,,,,86,8.60,22,4,10
82,"ZM Zhang, CJ Fu, QZ Zhu","Optical and thermal radiative properties of semiconductors related to micro/nanotechnology",2003,"Advances in Heat Transfer","books.google.com","https://books.google.com/books?hl=en&lr=&id=pJbgfUxzJSAC&oi=fnd&pg=PA179&ots=FPKbWVV_MR&sig=ZgSa6TXN3r-VbaEcPHZqNLZpUc0","https://scholar.google.com/scholar?cites=704854171727828901&as_sdt=5,33&sciodt=0,33&hl=en&num=20",63,"2018-12-02","","","","",,,,,82,5.47,27,3,15
83,"SA Biehs","Thermal heat radiation, near-field energy density and near-field radiative heat transfer of coated materials",2007,"The European Physical Journal B","Springer","https://link.springer.com/article/10.1140/epjb/e2007-00254-8","https://scholar.google.com/scholar?cites=14234182111968835956&as_sdt=5,33&sciodt=0,33&hl=en&num=20",64,"2018-12-02","","","","",,,,,83,7.55,83,1,11
96,"R St-Gelais, L Zhu, S Fan, M Lipson","Near-field radiative heat transfer between parallel structures in the deep subwavelength regime",2016,"Nature nanotechnology","nature.com","https://www.nature.com/articles/nnano.2016.20","https://scholar.google.com/scholar?cites=10157820701958153305&as_sdt=5,33&sciodt=0,33&hl=en&num=20",65,"2018-12-02","","","","",,,,,96,48.00,24,4,2
83,"C Simovski, S Maslovski, I Nefedov, S Tretyakov","Optimization of radiative heat transfer in hyperbolic metamaterials for thermophotovoltaic applications",2013,"Optics express","osapublishing.org","https://www.osapublishing.org/abstract.cfm?uri=oe-21-12-14988","https://scholar.google.com/scholar?cites=9441542658883968043&as_sdt=5,33&sciodt=0,33&hl=en&num=20",66,"2018-12-02","","","","",,,,,83,16.60,21,4,5
82,"A Narayanaswamy, S Shen, L Hu, X Chen, G Chen","Breakdown of the Planck blackbody radiation law at nanoscale gaps",2009,"Applied Physics A","Springer","https://link.springer.com/article/10.1007/s00339-009-5203-5","https://scholar.google.com/scholar?cites=11034875054871118657&as_sdt=5,33&sciodt=0,33&hl=en&num=20",67,"2018-12-02","","","","",,,,,82,9.11,16,5,9
87,"A Babuty, K Joulain, PO Chapuis, JJ Greffet…","Blackbody spectrum revisited in the near field",2013,"Physical Review Letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.110.146103","https://scholar.google.com/scholar?cites=2862205445460705406&as_sdt=5,33&sciodt=0,33&hl=en&num=20",68,"2018-12-02","","","","",,,,,87,17.40,17,5,5
86,"PF Baldasaro, JE Raynolds, GW Charache…","Thermodynamic analysis of thermophotovoltaic efficiency and power density tradeoffs",2001,"Journal of Applied …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.1344580","https://scholar.google.com/scholar?cites=8551187431868460589&as_sdt=5,33&sciodt=0,33&hl=en&num=20",69,"2018-12-02","","","","",,,,,86,5.06,22,4,17
79,"P Ben-Abdallah, K Joulain","Fundamental limits for noncontact transfers between two bodies",2010,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.82.121419","https://scholar.google.com/scholar?cites=17849000620223775745&as_sdt=5,33&sciodt=0,33&hl=en&num=20",70,"2018-12-02","","","","",,,,,79,9.88,40,2,8
80,"AI Volokitin, BNJ Persson","Dissipative van der Waals interaction between a small particle and a metal surface",2002,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.65.115419","https://scholar.google.com/scholar?cites=1065142702418327668&as_sdt=5,33&sciodt=0,33&hl=en&num=20",71,"2018-12-02","","","","",,,,,80,5.00,40,2,16
83,"M Krüger, G Bimonte, T Emig, M Kardar","Trace formulas for nonequilibrium Casimir interactions, heat radiation, and heat transfer for arbitrary objects",2012,"Physical Review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.86.115423","https://scholar.google.com/scholar?cites=2949469795741828454&as_sdt=5,33&sciodt=0,33&hl=en&num=20",72,"2018-12-02","","","","",,,,,83,13.83,21,4,6
84,"S Shen, A Mavrokefalos, P Sambegoro…","Nanoscale thermal radiation between two gold surfaces",2012,"Applied Physics …","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.4723713","https://scholar.google.com/scholar?cites=11477965945885600509&as_sdt=5,33&sciodt=0,33&hl=en&num=20",73,"2018-12-02","","","","",,,,,84,14.00,21,4,6
